Row Labels,Sum of Total_Amount,,,Row Labels,Sum of Total_Amount,Sum of Customer_Rating,,Row Labels,Count of Total_Amount,,,Row Labels,Sum of Total_Amount
Beauty,"$1,56,585",,,Bank Transfer,"$5,50,872",2008,,Female,2492,,,2023,"$39,01,124"
Books,"$72,745",,,Cash on Delivery,"$2,34,442",966,,Male,2435,,,2024,"$10,14,421"
Electronics,"$23,28,807",,,Credit Card,"$19,16,670",7818,,Other,73,,,Grand Total,"$49,15,545"
Fashion,"$3,75,215",,,Debit Card,"$12,50,503",4884,,Grand Total,5000,,,,
Food,"$96,139",,,Digital Wallet,"$9,63,057",3838,,,,,,,
Home & Garden,"$9,08,349",,,Grand Total,"$49,15,545",19514,,,,,,,
Sports,"$7,54,564",,,,,,,,,,,,
Toys,"$2,23,142",,,,,,,,,,,,
Grand Total,"$49,15,545",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,Row Labels,,,,,
,,,,,,,,ORD_000001,,,,,
Row Labels,Sum of Quantity,,,Row Labels,Count of Total_Amount,,,ORD_000002,,,,,
Beauty,1424,,,Desktop,1711,,,ORD_000003,,,,,
Books,1291,,,Mobile,2795,,,ORD_000004,,,,,
Electronics,1379,,,Tablet,494,,,ORD_000005,,,,,
Fashion,1411,,,Grand Total,5000,,,ORD_000006,,,,,
Food,1355,,,,,,,ORD_000007,,,,,
Home & Garden,1353,,,,,,,ORD_000008,,,,,
Sports,1519,,,,,,,ORD_000009,,,,,
Toys,1368,,,,,,,ORD_000010,,,,,
Grand Total,11100,,,,,,,ORD_000011,,,,,
,,,,,,,,ORD_000012,,,,,
,,,,,,,,ORD_000013,,,,,
,,,,,,,,ORD_000014,,,,,
,,,,,,,,ORD_000015,,,,,
,,,,,,,,ORD_000016,,,,,
,,,,,,,,ORD_000017,,,,,
,,,,,,,,ORD_000018,,,,,
,,,,,,,,ORD_000019,,,,,
,,,,,,,,ORD_000020,,,,,
,,,,,,,,ORD_000021,,,,,
,,,,,,,,ORD_000022,,,,,
,,,,,,,,ORD_000023,,,,,
,,,,,,,,ORD_000024,,,,,
,,,,,,,,ORD_000025,,,,,
,,,,,,,,ORD_000026,,,,,
,,,,,,,,ORD_000027,,,,,
,,,,,,,,ORD_000028,,,,,
,,,,,,,,ORD_000029,,,,,
,,,,,,,,ORD_000030,,,,,
,,,,,,,,ORD_000031,,,,,
,,,,,,,,ORD_000032,,,,,
,,,,,,,,ORD_000033,,,,,
,,,,,,,,ORD_000034,,,,,
,,,,,,,,ORD_000035,,,,,
,,,,,,,,ORD_000036,,,,,
,,,,,,,,ORD_000037,,,,,
,,,,,,,,ORD_000038,,,,,
,,,,,,,,ORD_000039,,,,,
,,,,,,,,ORD_000040,,,,,
,,,,,,,,ORD_000041,,,,,
,,,,,,,,ORD_000042,,,,,
,,,,,,,,ORD_000043,,,,,
,,,,,,,,ORD_000044,,,,,
,,,,,,,,ORD_000045,,,,,
,,,,,,,,ORD_000046,,,,,
,,,,,,,,ORD_000047,,,,,
,,,,,,,,ORD_000048,,,,,
,,,,,,,,ORD_000049,,,,,
,,,,,,,,ORD_000050,,,,,
,,,,,,,,ORD_000051,,,,,
,,,,,,,,ORD_000052,,,,,
,,,,,,,,ORD_000053,,,,,
,,,,,,,,ORD_000054,,,,,
,,,,,,,,ORD_000055,,,,,
,,,,,,,,ORD_000056,,,,,
,,,,,,,,ORD_000057,,,,,
,,,,,,,,ORD_000058,,,,,
,,,,,,,,ORD_000059,,,,,
,,,,,,,,ORD_000060,,,,,
,,,,,,,,ORD_000061,,,,,
,,,,,,,,ORD_000062,,,,,
,,,,,,,,ORD_000063,,,,,
,,,,,,,,ORD_000064,,,,,
,,,,,,,,ORD_000065,,,,,
,,,,,,,,ORD_000066,,,,,
,,,,,,,,ORD_000067,,,,,
,,,,,,,,ORD_000068,,,,,
,,,,,,,,ORD_000069,,,,,
,,,,,,,,ORD_000070,,,,,
,,,,,,,,ORD_000071,,,,,
,,,,,,,,ORD_000072,,,,,
,,,,,,,,ORD_000073,,,,,
,,,,,,,,ORD_000074,,,,,
,,,,,,,,ORD_000075,,,,,
,,,,,,,,ORD_000076,,,,,
,,,,,,,,ORD_000077,,,,,
,,,,,,,,ORD_000078,,,,,
,,,,,,,,ORD_000079,,,,,
,,,,,,,,ORD_000080,,,,,
,,,,,,,,ORD_000081,,,,,
,,,,,,,,ORD_000082,,,,,
,,,,,,,,ORD_000083,,,,,
,,,,,,,,ORD_000084,,,,,
,,,,,,,,ORD_000085,,,,,
,,,,,,,,ORD_000086,,,,,
,,,,,,,,ORD_000087,,,,,
,,,,,,,,ORD_000088,,,,,
,,,,,,,,ORD_000089,,,,,
,,,,,,,,ORD_000090,,,,,
,,,,,,,,ORD_000091,,,,,
,,,,,,,,ORD_000092,,,,,
,,,,,,,,ORD_000093,,,,,
,,,,,,,,ORD_000094,,,,,
,,,,,,,,ORD_000095,,,,,
,,,,,,,,ORD_000096,,,,,
,,,,,,,,ORD_000097,,,,,
,,,,,,,,ORD_000098,,,,,
,,,,,,,,ORD_000099,,,,,
,,,,,,,,ORD_000100,,,,,
,,,,,,,,ORD_000101,,,,,
,,,,,,,,ORD_000102,,,,,
,,,,,,,,ORD_000103,,,,,
,,,,,,,,ORD_000104,,,,,
,,,,,,,,ORD_000105,,,,,
,,,,,,,,ORD_000106,,,,,
,,,,,,,,ORD_000107,,,,,
,,,,,,,,ORD_000108,,,,,
,,,,,,,,ORD_000109,,,,,
,,,,,,,,ORD_000110,,,,,
,,,,,,,,ORD_000111,,,,,
,,,,,,,,ORD_000112,,,,,
,,,,,,,,ORD_000113,,,,,
,,,,,,,,ORD_000114,,,,,
,,,,,,,,ORD_000115,,,,,
,,,,,,,,ORD_000116,,,,,
,,,,,,,,ORD_000117,,,,,
,,,,,,,,ORD_000118,,,,,
,,,,,,,,ORD_000119,,,,,
,,,,,,,,ORD_000120,,,,,
,,,,,,,,ORD_000121,,,,,
,,,,,,,,ORD_000122,,,,,
,,,,,,,,ORD_000123,,,,,
,,,,,,,,ORD_000124,,,,,
,,,,,,,,ORD_000125,,,,,
,,,,,,,,ORD_000126,,,,,
,,,,,,,,ORD_000127,,,,,
,,,,,,,,ORD_000128,,,,,
,,,,,,,,ORD_000129,,,,,
,,,,,,,,ORD_000130,,,,,
,,,,,,,,ORD_000131,,,,,
,,,,,,,,ORD_000132,,,,,
,,,,,,,,ORD_000133,,,,,
,,,,,,,,ORD_000134,,,,,
,,,,,,,,ORD_000135,,,,,
,,,,,,,,ORD_000136,,,,,
,,,,,,,,ORD_000137,,,,,
,,,,,,,,ORD_000138,,,,,
,,,,,,,,ORD_000139,,,,,
,,,,,,,,ORD_000140,,,,,
,,,,,,,,ORD_000141,,,,,
,,,,,,,,ORD_000142,,,,,
,,,,,,,,ORD_000143,,,,,
,,,,,,,,ORD_000144,,,,,
,,,,,,,,ORD_000145,,,,,
,,,,,,,,ORD_000146,,,,,
,,,,,,,,ORD_000147,,,,,
,,,,,,,,ORD_000148,,,,,
,,,,,,,,ORD_000149,,,,,
,,,,,,,,ORD_000150,,,,,
,,,,,,,,ORD_000151,,,,,
,,,,,,,,ORD_000152,,,,,
,,,,,,,,ORD_000153,,,,,
,,,,,,,,ORD_000154,,,,,
,,,,,,,,ORD_000155,,,,,
,,,,,,,,ORD_000156,,,,,
,,,,,,,,ORD_000157,,,,,
,,,,,,,,ORD_000158,,,,,
,,,,,,,,ORD_000159,,,,,
,,,,,,,,ORD_000160,,,,,
,,,,,,,,ORD_000161,,,,,
,,,,,,,,ORD_000162,,,,,
,,,,,,,,ORD_000163,,,,,
,,,,,,,,ORD_000164,,,,,
,,,,,,,,ORD_000165,,,,,
,,,,,,,,ORD_000166,,,,,
,,,,,,,,ORD_000167,,,,,
,,,,,,,,ORD_000168,,,,,
,,,,,,,,ORD_000169,,,,,
,,,,,,,,ORD_000170,,,,,
,,,,,,,,ORD_000171,,,,,
,,,,,,,,ORD_000172,,,,,
,,,,,,,,ORD_000173,,,,,
,,,,,,,,ORD_000174,,,,,
,,,,,,,,ORD_000175,,,,,
,,,,,,,,ORD_000176,,,,,
,,,,,,,,ORD_000177,,,,,
,,,,,,,,ORD_000178,,,,,
,,,,,,,,ORD_000179,,,,,
,,,,,,,,ORD_000180,,,,,
,,,,,,,,ORD_000181,,,,,
,,,,,,,,ORD_000182,,,,,
,,,,,,,,ORD_000183,,,,,
,,,,,,,,ORD_000184,,,,,
,,,,,,,,ORD_000185,,,,,
,,,,,,,,ORD_000186,,,,,
,,,,,,,,ORD_000187,,,,,
,,,,,,,,ORD_000188,,,,,
,,,,,,,,ORD_000189,,,,,
,,,,,,,,ORD_000190,,,,,
,,,,,,,,ORD_000191,,,,,
,,,,,,,,ORD_000192,,,,,
,,,,,,,,ORD_000193,,,,,
,,,,,,,,ORD_000194,,,,,
,,,,,,,,ORD_000195,,,,,
,,,,,,,,ORD_000196,,,,,
,,,,,,,,ORD_000197,,,,,
,,,,,,,,ORD_000198,,,,,
,,,,,,,,ORD_000199,,,,,
,,,,,,,,ORD_000200,,,,,
,,,,,,,,ORD_000201,,,,,
,,,,,,,,ORD_000202,,,,,
,,,,,,,,ORD_000203,,,,,
